run_id,fleet_size,n_waypoints,seed,status,total_cost,makespan,shortest_route,route_balance_ratio,route_cost_std,mean_route_cost,total_traj_steps,residual_collisions,fail_count_total,t_dist_matrix,t_vrp_solve,t_trajectory,t_total
58,3,25,7,success,275.6004409790039,96.80523681640625,84.77008819580078,1.141974001404916,5.144894052471434,91.86681365966797,3425,0,0,18.133250384009443,120.13586954900529,253.46075168499374,391.75055813200015
59,3,25,2024,success,270.4153594970703,102.34275817871094,69.49760437011719,1.472608431704685,14.676114050245811,90.13845316569011,3775,0,0,18.149393963001785,120.1282837769977,223.0392202380026,361.33767193301173
60,3,25,314,success,298.5111846923828,102.30203247070312,94.76937866210938,1.0794840476421257,3.3661473513337796,99.50372823079427,3650,43,0,18.01404297701083,120.14448002701101,269.67167116500787,407.8511435790133
61,3,50,42,success,442.09102630615234,173.92747497558594,112.94782257080078,1.5398922353422118,25.506477058566947,147.36367543538412,6238,21,0,30.298997215999407,120.38682705200335,406.0164273650007,556.7242823609995
62,3,50,123,success,446.62060546875,174.92233276367188,123.90496826171875,1.4117459147739055,20.841753668635004,148.87353515625,5950,0,0,30.815622869995423,120.38364127000386,432.1840173870005,583.4051917410106
63,3,50,7,success,474.58668518066406,166.63909912109375,144.92774963378906,1.1498080908740116,9.497399430642664,158.19556172688803,5825,0,0,30.70549686400045,120.40776092899614,411.7156996630074,562.8499535459996
64,3,50,2024,success,465.08416748046875,155.7791748046875,154.03799438476562,1.0113035775808183,0.7306378216214889,155.0280558268229,5875,0,0,32.01168361699092,120.37489981699036,421.97968097899866,574.3881002870039
65,3,50,314,success,456.2064208984375,173.095458984375,133.7203826904297,1.294458297992617,16.18597821509054,152.06880696614584,6113,0,0,32.15213665200281,120.37902376199781,461.4427657089982,613.9957304139971
66,3,75,42,success,521.2096862792969,202.1851806640625,145.71405029296875,1.3875475992709998,23.05621126121085,173.73656209309897,7638,16,0,43.409863106004195,120.79615779699816,497.7568466820085,661.9862377559912
67,3,75,123,success,450.6647644042969,155.85841369628906,144.55703735351562,1.0781793577792813,4.613809223487425,150.22158813476562,6400,0,0,46.284404888006975,120.82981700000528,2096.0004810149985,2263.156687396011
68,3,75,7,success,570.3867797851562,210.95797729492188,164.28497314453125,1.2840978286512523,19.381335803713508,190.1289265950521,7588,0,0,2054.14312839201,121.04736437500105,2771.9140220099944,4947.176408077008
69,3,75,2024,success,532.4828033447266,196.21746826171875,166.40663146972656,1.1791445240414924,13.314099736389823,177.49426778157553,7600,36,0,3001.3406817689975,121.85111086400866,5337.776552238996,8461.050883990989
70,3,75,314,success,543.9878234863281,190.810546875,166.26678466796875,1.147616748925798,10.769139766620821,181.32927449544272,7313,42,0,2584.127222462994,121.46028292398842,5254.635838154005,7960.30011653401
71,3,100,42,success,662.3337707519531,233.63580322265625,203.08883666992188,1.1504118446568388,12.930189846422948,220.77792358398438,9100,79,0,3327.5408548309933,122.5292154649942,3390.4713443479995,6840.597071750992
72,3,100,123,success,532.6139373779297,199.6206512451172,159.79803466796875,1.2492059220871683,16.544982329329144,177.53797912597656,8538,0,0,92.61007944999437,123.09006349000265,864.3638280739979,1080.0860508619953
73,3,100,7,success,643.2745971679688,248.51980590820312,174.43093872070312,1.4247461358109772,30.5329176941527,214.42486572265625,9625,0,0,60.15428178900038,122.0995197709999,677.6551873690041,859.9571632870066
74,3,100,2024,success,648.261962890625,242.33203125,199.10018920898438,1.217136117312463,18.824188548612444,216.08732096354166,9425,21,0,60.72141911400831,121.36854958499316,613.3416546990047,795.4534601049963
75,3,100,314,success,591.6474761962891,229.04666137695312,153.1558380126953,1.4955137482775362,32.16642531008423,197.21582539876303,9100,0,0,60.014667551993625,121.44759624201106,542.6719041570032,724.1563271330087
76,4,10,42,success,183.5662078857422,64.59415435791016,17.07062530517578,3.783936042361924,19.717891937236427,45.89155197143555,2188,0,0,14.228895158012165,6.730491747992346,207.1967769920011,228.17831955800648
77,4,10,123,success,201.1341667175293,77.020751953125,54.58372116088867,1.4110571854583143,30.133946325135124,50.283541679382324,2425,43,0,14.093760909017874,5.2061537470144685,216.75410682801157,236.07563782201032
78,4,10,7,success,204.36061096191406,69.36321258544922,66.17096710205078,1.0482423882134784,29.521665608434308,51.090152740478516,2300,0,0,14.28681053800392,43.75141299399547,191.47379591298522,249.53287267201813
79,4,10,2024,success,173.81292343139648,58.89484786987305,57.05710983276367,1.0322087473847843,25.096190722927126,43.45323085784912,1913,0,0,13.780351341993082,120.1358883259818,153.97403920197394,287.9116065860144
80,4,10,314,success,180.17294025421143,58.063026428222656,7.736966133117676,7.504624607271697,21.54874338604811,45.043235063552856,1900,0,0,13.720871539000655,120.16508534399327,189.6573546709842,323.56487157498486
81,4,25,42,success,326.3721160888672,92.26896667480469,68.45817565917969,1.34781515555085,8.942928927495014,81.5930290222168,3113,0,0,21.346666739002103,120.16876582198893,453.7735408100125,595.3113734819926
82,4,25,123,success,298.742488861084,83.57200622558594,53.29513931274414,1.5680980911818703,12.46304528373371,74.685622215271,2863,0,0,116.41132413601736,120.23174826498143,379.0543394710112,615.7233999920136
83,4,25,7,success,339.1313934326172,90.96407318115234,76.64966583251953,1.1867510731215707,5.335140155920227,84.7828483581543,3313,0,0,103.05732642501243,120.21742152801016,476.81624569298583,700.1138561840053
84,4,25,2024,success,321.05162048339844,87.19213104248047,69.81378936767578,1.2489242001072494,7.070954881303518,80.26290512084961,3088,3,0,102.88613744801842,120.19048951400327,692.7994772649836,915.8977985919919
85,4,25,314,success,308.3495178222656,85.15101623535156,59.874481201171875,1.4221587315179103,10.20760526906361,77.0873794555664,3113,39,0,61.941793934005545,120.50320086898864,475.16492800900596,657.6484670049977
86,4,50,42,success,498.6928024291992,151.05056762695312,93.9297866821289,1.6081221193243913,21.04709224163319,124.6732006072998,5175,36,0,180.08586201199796,120.5783890990133,689.6480110120028,990.3394610699906
87,4,50,123,success,468.3577880859375,140.35951232910156,78.54414367675781,1.7870143559873795,24.105798853424478,117.08944702148438,4825,29,0,191.4395829180139,120.88939515297534,889.5133454850002,1201.8841413470218
88,4,50,7,success,543.1342010498047,158.98831176757812,112.39799499511719,1.4145119917351276,18.77441590780817,135.78355026245117,5463,0,0,317.59726896099164,121.14022791502066,1950.108769028011,2389.114159429999
89,4,50,2024,success,511.95706939697266,142.10202026367188,116.14388275146484,1.2234998253653582,11.312995902115553,127.98926734924316,4938,21,0,46.53162404798786,120.88400805898709,943.6274445650051,1111.0746339100006
90,4,50,314,success,465.4352722167969,143.64739990234375,97.96861267089844,1.4662594068254493,16.77672218428443,116.35881805419922,5038,15,0,46.3631175509945,120.71205384199857,594.990861526021,762.0895299499971
91,4,75,42,success,501.4915542602539,138.06100463867188,112.01573944091797,1.232514335286706,12.268298853694926,125.37288856506348,5300,33,0,75.15574156399816,121.70283474697499,645.9979665369901,842.8812244630244
92,4,75,123,success,568.7782897949219,156.09860229492188,132.76510620117188,1.1757502160122857,9.18434001727617,142.19457244873047,5863,0,0,270.34098635299597,121.21251867999672,830.7796276060108,1222.358658365003
93,4,75,7,success,661.8890686035156,183.21841430664062,126.27244567871094,1.4509769991532726,22.812805660839448,165.4722671508789,6425,56,0,137.52629067000817,121.16973319702083,805.700761464017,1064.4239787599945
94,4,75,2024,success,501.0094223022461,150.68948364257812,99.09873962402344,1.5205993962616262,18.299762578650952,125.25235557556152,5600,35,0,271.7502953509975,121.2159495119995,535.1965719699801,928.190319974994
95,4,75,314,success,617.250114440918,184.8762969970703,117.4214859008789,1.5744673607105708,24.559521604413845,154.3125286102295,6475,71,0,46.90385561299627,121.64374617798603,764.8163508790021,933.4126133600075
96,4,100,42,success,698.8690338134766,199.95706176757812,144.59725952148438,1.382855127609582,23.131521146257214,174.71725845336914,7813,37,0,65.86546772997826,122.26593800901901,682.0124124040012,870.1660031570063
97,4,100,123,success,692.9995422363281,196.36167907714844,141.0415802001953,1.3922254614449967,22.406131825682706,173.24988555908203,7750,40,0,65.25788850200479,122.02753712498816,702.2522401629831,889.562567224988
98,4,100,7,success,655.1121139526367,184.94039916992188,120.28449249267578,1.5375248740496041,25.865410528848177,163.77802848815918,7288,68,0,64.85234240701539,122.0983887820039,653.1265714319889,840.1019686749787
99,4,100,2024,success,716.3112030029297,196.34542846679688,150.26187133789062,1.306688295031806,17.892075838812755,179.07780075073242,7463,70,0,60.17776300100377,122.02840182400541,720.7067078060063,902.936449158995
100,4,100,314,success,672.4207763671875,226.92941284179688,140.58718872070312,1.6141542832371811,34.34813893517624,168.10519409179688,8363,34,0,60.101193298003636,122.22075119699002,681.1500555370003,863.4952972139872
101,5,10,42,success,208.68547248840332,62.469940185546875,28.39911460876465,2.199714358921146,24.29378994717006,41.737094497680665,1988,0,0,14.381370468006935,22.426591315015685,221.53469611899345,258.3636762610113
102,5,10,123,success,248.21032047271729,64.72498321533203,11.032368659973145,5.866825630126249,20.104503820837213,49.64206409454346,2013,0,0,14.208496150997235,12.121489551995182,271.723667785991,298.07616775200586
103,5,10,7,success,226.3520736694336,64.83604431152344,45.44402313232422,1.4267232485718397,23.65849597211987,45.27041473388672,2025,0,0,14.29749446400092,96.80677768398891,208.2528601550148,319.3783201240003
104,5,10,2024,success,179.25419235229492,57.76347732543945,29.561626434326172,1.9540020050576798,20.894937335112264,35.85083847045898,1813,0,0,14.395688024000265,120.10450848998153,161.38878051299253,295.9104857019847
105,5,10,314,success,172.8958282470703,63.78523254394531,7.189876556396484,8.871533752161389,26.051152990249022,34.579165649414065,1975,0,0,14.30163583700778,120.10491446699598,182.15569737399346,316.58446399201057
106,5,25,42,success,357.1266632080078,81.71381378173828,43.8153076171875,1.8649604036942622,14.178029147527837,71.42533264160156,2688,28,0,21.52393745200243,120.18232661500224,334.1757016030024,475.90435216299375
107,5,25,123,success,315.7462673187256,84.02174377441406,25.568212509155273,3.2861798119179504,21.313921497392986,63.14925346374512,2913,0,0,21.63344739700551,120.17518563600606,303.2052443889843,445.03512335399864
108,5,25,7,success,349.8468360900879,76.02497863769531,58.054927825927734,1.3095353225767346,7.053678902342106,69.96936721801758,2650,0,0,21.728835493995575,120.18920592201175,337.13094154102146,479.0717773840006
109,5,25,2024,success,361.08752059936523,80.57555389404297,60.59272384643555,1.3297892680687426,7.099968556134402,72.21750411987304,2775,0,0,22.058003487007227,120.22986186799244,359.4744522550027,501.78443998500006
110,5,25,314,success,355.04988861083984,75.73863983154297,64.05597686767578,1.1823820904019737,4.501412859275766,71.00997772216797,2650,13,0,21.745217521995073,120.20520416498766,367.03138506299,509.00313408800866
111,5,50,42,success,490.6020050048828,120.02490234375,82.57014465332031,1.4536113851766586,12.255100632204645,98.12040100097656,4063,37,0,34.665463092009304,120.68024399000569,509.79629796600784,665.1647216209967
112,5,50,123,success,508.7772521972656,111.42900085449219,94.66285705566406,1.1771142803028776,6.244017046217707,101.75545043945313,3875,0,0,34.063727689004736,120.69998955199844,505.5093882799847,660.2952473559999
113,5,50,7,success,536.1475410461426,132.0093231201172,33.9593391418457,3.8872759734435287,37.01007322928919,107.22950820922851,4300,0,0,34.9440786089981,120.70164324901998,481.19492812801036,636.8631042320048
114,5,50,2024,success,537.9164810180664,127.56036376953125,74.566650390625,1.7106892035687975,19.177457244997793,107.58329620361329,4600,30,0,34.188343403016916,120.6492281180108,533.906836034992,688.7668215529993
115,5,50,314,success,478.3112335205078,103.03584289550781,85.30166625976562,1.2078995336590148,6.1428202546969475,95.66224670410156,3638,19,0,33.978236841998296,120.62487806598074,454.45284993801033,609.0777635379927
116,5,75,42,success,552.1760635375977,140.39370727539062,96.02874755859375,1.461996650427277,15.821520721895062,110.43521270751953,5125,18,0,47.01043094898341,121.32452993400511,615.1268350490136,783.4854631849739
117,5,75,123,success,530.346809387207,123.0524673461914,85.23876953125,1.4436208784205673,12.428002406119349,106.06936187744141,4588,26,0,47.545347011997364,121.44650247899699,523.4853152949945,692.4999198389996
118,5,75,7,success,648.9093322753906,151.48373413085938,114.22089385986328,1.3262348858582176,14.834691727746563,129.78186645507813,5538,59,0,48.1479174339911,121.33320176799316,649.6525477179966,819.1562676370086
119,5,75,2024,success,643.0836868286133,163.00656127929688,107.00785064697266,1.5233140399863594,21.011847982121225,128.61673736572266,5838,78,0,47.710728136007674,121.55589869100368,651.7589535769948,821.0486216380086
120,5,75,314,success,620.9282302856445,184.498779296875,86.08370971679688,2.1432484717939047,32.699303876562155,124.1856460571289,6350,5,0,47.78286599199055,121.44402826001169,618.1638239260064,787.4135174149997
121,5,100,42,success,636.5360641479492,140.04554748535156,111.5323715209961,1.255649329208317,9.722187797523196,127.30721282958984,5688,19,0,61.775027235999005,123.08609473201795,620.2133393530094,805.0984189189912
122,5,100,123,success,611.8476409912109,140.3771209716797,107.41011047363281,1.3069265114119741,12.763058203880977,122.3695281982422,5575,59,0,61.27715656798682,122.95832997898106,652.5074335630052,836.7954181579989
123,5,100,7,success,610.4275665283203,141.807373046875,105.29420471191406,1.3467728203547509,11.619957141780905,122.08551330566407,5538,43,0,63.602203454007395,122.95694819500204,629.594218511018,816.1751733450219
124,5,100,2024,success,780.7630615234375,186.30523681640625,128.23446655273438,1.452848378636107,22.10034113834656,156.1526123046875,6600,75,0,62.496619666024344,124.01609158399515,992.7204827330133,1179.2826802589989
125,5,100,314,success,802.7671585083008,186.63841247558594,119.7412338256836,1.5586812204331353,22.014092552045717,160.55343170166014,6588,53,0,61.19570101299905,123.17399776901584,1015.9496824259986,1200.3705124399858
126,6,10,42,success,207.36998558044434,62.469940185546875,28.34128761291504,2.2042026120605582,26.891030717243737,34.56166426340739,1988,0,0,14.839482692012098,73.62919690899434,232.43133511100314,320.91900324300514
127,6,10,123,success,247.40799236297607,64.72498321533203,12.895110130310059,5.019343189880592,25.333944563925026,41.234665393829346,2013,0,0,14.856052091985475,57.254106001986656,261.84137634999934,333.9735026230046
128,6,10,7,success,236.90533065795898,63.00273132324219,52.56980514526367,1.1984585286011562,28.126791371039573,39.4842217763265,2025,0,0,14.87117117102025,120.12764676299412,229.8734557639982,364.8936238239985
129,6,10,2024,success,203.64880752563477,53.43362045288086,47.607810974121094,1.1223708748534267,24.073411915622053,33.941467920939125,1613,0,0,14.88028937499621,120.08391487901099,237.72174083502614,372.7075707350159
130,6,10,314,success,201.10793685913086,56.762420654296875,31.56835174560547,1.7980799603260438,25.288831579236184,33.51798947652181,1813,0,0,14.717042153002694,120.0948410659912,219.9267230439873,354.7600258970051
131,6,25,42,success,349.77088737487793,83.98416137695312,22.764646530151367,3.689236345739768,33.836736266637764,58.29514789581299,2863,112,0,21.973273380979663,120.20357170401257,327.8791933039902,470.07792963899556
132,6,25,123,success,335.14049530029297,85.99854278564453,5.159797668457031,16.667037800992155,37.77538991218436,55.85674921671549,2775,0,0,22.109275919996435,120.23893774600583,315.7130061140051,458.08280432401807
133,6,25,7,success,321.06393241882324,81.41183471679688,24.748693466186523,3.289540711635048,30.584379171492046,53.51065540313721,2763,29,0,22.193034047988476,120.2557609990181,326.541580546007,469.01320098599535
134,6,25,2024,success,353.58003997802734,83.14793395996094,48.8594970703125,1.7017762962296725,29.685966191135574,58.930006663004555,2838,0,0,22.713307116006035,120.64444585799356,429.51951192799606,572.9253760410065
135,6,25,314,success,390.5640411376953,81.46705627441406,71.94856262207031,1.132295813918372,29.308993762033346,65.09400685628255,2725,33,0,23.523353324999334,120.25915012901532,436.58642235101433,580.3904347909847
136,6,50,42,success,521.1367416381836,114.39997863769531,22.360031127929688,5.116270991894974,30.47184526547743,86.85612360636394,3975,0,0,36.30412004998652,120.83923871000297,536.319293470995,693.4862838230038
137,6,50,123,success,544.8865051269531,121.94631958007812,70.46501159667969,1.730593904930603,17.900090125257673,90.81441752115886,4313,170,0,36.172407933016075,120.74791295899195,553.3996187949961,710.3430640599981
138,6,50,7,success,564.9608764648438,116.77043151855469,26.996627807617188,4.32537101858357,31.045136319736788,94.16014607747395,4088,27,0,36.0999497929879,120.91506975601078,551.2936845140066,708.3317958770203
139,6,50,2024,success,510.71646881103516,115.47138977050781,85.21495819091797,1.3550601000331712,39.19114239425542,85.11941146850586,4188,0,0,37.278740638983436,120.77962583201588,508.1387183579791,666.2197071650007
140,6,50,314,success,510.4615936279297,97.37303161621094,77.1087646484375,1.2628010844184114,6.4560191172756225,85.07693227132161,3475,33,0,36.282201454014285,120.77659102599137,503.90371543201036,660.987924385001
141,6,75,42,success,708.8118438720703,160.08621215820312,82.85783386230469,1.9320588614981002,27.17974328446705,118.13530731201172,5463,139,0,49.740618532989174,121.67875395301962,830.3281148380192,1001.770828386012
