fleet_size,n_waypoints,seed,vrp_makespan_lb_m,vrp_total_cost_lb_m,vrp_objective_lb_m,mapf_makespan_time_lb_s,mapf_total_time_lb_s,mapf_objective_time_lb_s,vrp_objective_best_bound_m
8,10,7,59.60493469238281,139.71014022827148,99.65753746032715,31.802467346191406,89.85507011413574,60.828768730163574,0.0
8,10,2024,52.770904541015625,101.38921308517456,77.08005881309509,28.385452270507812,70.69460654258728,49.540029406547546,0.0
8,10,314,54.67417907714844,94.8894395828247,74.78180932998657,29.33708953857422,67.44471979141235,48.390904664993286,0.0
8,25,42,61.727108001708984,165.83976030349731,113.78343415260315,32.86355400085449,132.91988015174866,82.89171707630157,0.0
8,25,123,64.29662322998047,188.56581807136536,126.43122065067291,34.148311614990234,144.28290903568268,89.21561032533646,0.0
8,25,7,60.744476318359375,139.4934964776039,100.11898639798164,32.37223815917969,119.74674823880196,76.05949319899082,0.0
8,25,2024,64.49703979492188,177.58465313911438,121.04084646701813,34.24851989746094,138.7923265695572,86.52042323350906,0.0
8,25,314,60.94025802612305,163.05717182159424,111.99871492385864,32.47012901306152,131.52858591079712,81.99935746192932,0.0
8,50,42,61.688560485839844,232.56334900856018,147.1259547472,32.84428024291992,216.2816745042801,124.5629773736,0.0
8,50,123,64.02375793457031,261.83712032437325,162.93043912947178,34.011878967285156,230.91856016218662,132.4652195647359,0.0
8,50,7,63.979740142822266,257.13755854964256,160.55864934623241,33.98987007141113,228.56877927482128,131.2793246731162,0.0
8,50,2024,65.0627212524414,224.39743876457214,144.73008000850677,34.5313606262207,212.19871938228607,123.36504000425339,0.0
8,50,314,61.04849624633789,269.95517683029175,165.50183653831482,32.524248123168945,234.97758841514587,133.7509182691574,0.0
8,75,42,62.26358413696289,325.20746552944183,193.73552483320236,39.075466595590115,312.6037327647209,175.83959968015552,0.0
8,75,123,64.18943786621094,349.01774871349335,206.60359328985214,40.563609294593334,324.5088743567467,182.53624182567,0.0
8,75,7,63.852603912353516,328.0849276781082,195.96876579523087,39.25530797988176,314.0424638390541,176.64888590946794,0.0
8,75,2024,64.76990509033203,301.3341097831726,183.05200743675232,37.58338186144829,300.6670548915863,169.1252183765173,0.0
8,75,314,61.485679626464844,325.910147190094,193.69791340827942,39.119384199380875,312.955073595047,176.03722889721394,0.0
8,100,42,63.97018814086914,379.7502672672272,221.86022770404816,48.7343917042017,389.8751336336136,219.30476266890764,0.0
8,100,123,64.18943786621094,378.8095636367798,221.49950075149536,48.67559772729874,389.4047818183899,219.04018977284431,0.0
8,100,7,64.3797378540039,374.6193087697029,219.4995233118534,48.41370679810643,387.30965438485146,217.86168059147894,0.0
8,100,2024,66.46395111083984,373.86397671699524,220.16396391391754,48.3664985448122,386.9319883584976,217.6492434516549,0.0
8,100,314,64.65095520019531,375.03965854644775,219.84530687332153,48.439978659152985,387.5198292732239,217.97990396618843,0.0
10,10,42,60.361419677734375,118.85638999938965,89.60890483856201,32.18070983886719,79.42819499969482,55.804452419281006,0.0
10,10,123,62.8623046875,111.83610677719116,87.34920573234558,33.43115234375,75.91805338859558,54.67460286617279,0.0
10,10,7,58.404930114746094,139.71014022827148,99.05753517150879,31.202465057373047,89.85507011413574,60.528767585754395,0.0
10,10,2024,51.570899963378906,100.88067483901978,76.22578740119934,27.785449981689453,70.44033741950989,49.11289370059967,0.0
10,10,314,53.07417297363281,94.8894395828247,73.98180627822876,28.537086486816406,67.44471979141235,47.99090313911438,0.0
10,25,42,60.12710189819336,165.83976030349731,112.98343110084534,32.06355094909668,132.91988015174866,82.49171555042267,0.0
10,25,123,63.09661865234375,187.83444714546204,125.4655328989029,33.548309326171875,143.91722357273102,88.73276644945145,0.0
10,25,7,59.544471740722656,139.4934964776039,99.51898410916328,31.772235870361328,119.74674823880196,75.75949205458164,0.0
10,25,2024,63.29703903198242,177.58465313911438,120.4408460855484,33.64851951599121,138.7923265695572,86.2204230427742,0.0
10,25,314,59.74025344848633,161.85717296600342,110.79871320724487,31.870126724243164,130.9285864830017,81.39935660362244,0.0
10,50,42,60.08855438232422,232.56334900856018,146.3259516954422,32.04427719116211,216.2816745042801,124.1629758477211,0.0
10,50,123,62.823753356933594,261.60280564427376,162.21327950060368,33.4118766784668,230.80140282213688,132.10663975030184,0.0
10,50,7,62.77973556518555,256.38623294234276,159.58298425376415,33.38986778259277,228.19311647117138,130.79149212688208,0.0
10,50,2024,63.86272430419922,223.93893361091614,143.90082895755768,33.93136215209961,211.96946680545807,122.95041447877884,0.0
10,50,314,59.84849166870117,270.5022668838501,165.17537927627563,31.924245834350586,235.25113344192505,133.58768963813782,0.0
10,75,42,60.663578033447266,325.20746552944183,192.93552178144455,32.33178901672363,312.6037327647209,172.46776089072227,0.0
10,75,123,62.989437103271484,349.5148049592972,206.25212103128433,33.49471855163574,324.7574024796486,179.12606051564217,0.0
10,75,7,62.6525993347168,328.05694258213043,195.35477095842361,33.3262996673584,314.0284712910652,173.6773854792118,0.0
10,75,2024,63.56990432739258,300.5155143737793,182.04270935058594,33.78495216369629,300.25775718688965,167.02135467529297,0.0
10,75,314,59.88567352294922,324.7101483345032,192.2979109287262,31.94283676147461,312.3550741672516,172.1489554643631,0.0
10,100,42,62.370182037353516,379.24172806739807,220.8059550523758,38.9620864033699,389.62086403369904,214.29147521853446,0.0
10,100,123,62.989437103271484,378.6630048751831,220.8262209892273,38.93315024375916,389.33150243759155,214.13232634067535,0.0
10,100,7,63.17973709106445,374.6193087697029,218.89952293038368,38.73096543848514,387.30965438485146,213.0203099116683,0.0
10,100,2024,65.26394653320312,373.6211893558502,219.44256794452667,38.68105946779251,386.8105946779251,212.74582707285882,0.0
10,100,314,63.450950622558594,373.83965969085693,218.64530515670776,38.69198298454285,386.91982984542847,212.80590641498566,0.0
