rank,gamma_method,epsilon_scale,delta_k,delta_agg,back_face_threshold,mean_f1,mean_precision,mean_recall,mean_f2,std_f1,min_f1
140,p40,0.95,4,max,-1e-06,0.9197002897,0.8796131270,0.9665106749,0.9468512039,0.0611690603,0.0054041432
141,mean,1.05,7,p99,-1e-06,0.9195858426,0.8761421394,0.9705422518,0.9491051942,0.0618454540,0.0052474015
142,p25,0.9,4,max,-1e-06,0.9195595514,0.8791256403,0.9667583184,0.9469443242,0.0609075531,0.0049319326
143,p40,0.9,5,max,-1e-06,0.9195183368,0.8790922932,0.9667569345,0.9469137586,0.0611998998,0.0061783757
144,p40,0.85,6,max,-1e-06,0.9194616948,0.8798970695,0.9657039030,0.9462775236,0.0613606078,0.0056576145
145,p30,1.05,6,p99,-1e-06,0.9194605400,0.8754701768,0.9709524710,0.9493198958,0.0609997365,0.0049737685
146,p60,1.0,4,max,-1e-06,0.9194424298,0.8793907037,0.9664050570,0.9466398465,0.0621787846,0.0070574397
147,p75,1.05,4,max,-1e-06,0.9194419999,0.8797434774,0.9661010960,0.9464345285,0.0628439810,0.0073267198
148,p75,0.95,6,max,-1e-06,0.9194375482,0.8806452818,0.9650361246,0.9458163661,0.0628404974,0.0071236603
149,p75,1.0,5,max,-1e-06,0.9193643752,0.8795552605,0.9661496691,0.9464294932,0.0628429620,0.0063387342
150,p60,0.95,5,max,-1e-06,0.9193495367,0.8790416491,0.9666017418,0.9467164011,0.0621149035,0.0063613644
151,p60,0.9,6,max,-1e-06,0.9193221343,0.8800390674,0.9654130323,0.9460113903,0.0622897387,0.0069258412
152,p25,0.85,5,max,-1e-06,0.9193046151,0.8783670315,0.9671394341,0.9470507442,0.0609911399,0.0048510982
153,p30,0.9,4,max,-1e-06,0.9192217322,0.8783097317,0.9670933401,0.9469806754,0.0612182928,0.0055284005
154,p25,0.95,7,p99,-1e-06,0.9192195115,0.8748866609,0.9711192233,0.9493137527,0.0609477003,0.0045637218
155,p40,1.0,7,p99,-1e-06,0.9192026721,0.8750667599,0.9709972565,0.9492108314,0.0616088578,0.0054716790
156,median,0.95,4,max,-1e-06,0.9191094278,0.8782601141,0.9669749229,0.9468449796,0.0617632180,0.0062005277
157,p25,1.1,5,p99,-1e-06,0.9189951198,0.8744353769,0.9712292971,0.9492766012,0.0610391881,0.0049827651
158,median,1.1,6,p99,-1e-06,0.9189783637,0.8747423040,0.9709802858,0.9490862927,0.0620792004,0.0058104588
159,p30,0.85,5,max,-1e-06,0.9189741686,0.8776417393,0.9673692004,0.9470307424,0.0612624166,0.0053685871
160,median,0.85,6,max,-1e-06,0.9189657066,0.8786316055,0.9662748078,0.9463726958,0.0618384847,0.0068286277
161,median,0.9,5,max,-1e-06,0.9189443237,0.8777789507,0.9672037808,0.9469050310,0.0617965919,0.0065616798
162,mean,0.95,4,max,-1e-06,0.9188874855,0.8780123992,0.9668590740,0.9466701530,0.0621169547,0.0061301167
163,mean,1.1,6,p99,-1e-06,0.9188187367,0.8744778874,0.9710025950,0.9490218539,0.0623531417,0.0053639076
164,mean,0.9,5,max,-1e-06,0.9188123333,0.8776022884,0.9672013201,0.9468346422,0.0620543672,0.0068353598
165,p60,1.05,7,p99,-1e-06,0.9188067948,0.8746329720,0.9709248988,0.9489420302,0.0629973760,0.0063460585
166,mean,0.85,6,max,-1e-06,0.9188066597,0.8784150888,0.9662590378,0.9462821479,0.0621647639,0.0063796902
167,p30,0.95,7,p99,-1e-06,0.9186982520,0.8738628654,0.9713414827,0.9492005550,0.0614173749,0.0050307624
168,p75,1.1,7,p99,-1e-06,0.9186803891,0.8747695308,0.9706473022,0.9486884540,0.0639117463,0.0068286277
169,p25,1.0,6,p99,-1e-06,0.9185406851,0.8734709074,0.9714605462,0.9492073499,0.0612932827,0.0052477339
170,p40,0.9,4,max,-1e-06,0.9185160149,0.8767318323,0.9676102288,0.9469472749,0.0619604244,0.0063649925
171,p40,1.05,6,p99,-1e-06,0.9185078246,0.8736032532,0.9713138813,0.9490840333,0.0620112012,0.0047843666
172,p30,1.1,5,p99,-1e-06,0.9184511357,0.8733699386,0.9714069613,0.9491278127,0.0615696391,0.0041448665
173,p75,1.0,4,max,-1e-06,0.9184263008,0.8773135268,0.9670029791,0.9464874282,0.0636224206,0.0074706166
174,p25,0.85,4,max,-1e-06,0.9183609748,0.8761746945,0.9679098692,0.9470660299,0.0615818125,0.0057780167
175,p75,0.9,6,max,-1e-06,0.9183179550,0.8778506087,0.9661657106,0.9459538331,0.0636534915,0.0074043074
176,p60,0.95,4,max,-1e-06,0.9183100271,0.8766792023,0.9674067076,0.9467017409,0.0628979583,0.0081632653
177,p40,0.85,5,max,-1e-06,0.9183019542,0.8761647533,0.9678308678,0.9469824041,0.0619530530,0.0061301167
178,median,1.0,7,p99,-1e-06,0.9182879738,0.8734096263,0.9711857516,0.9488926075,0.0625843059,0.0056056056
179,mean,1.0,7,p99,-1e-06,0.9182510309,0.8732858473,0.9713071692,0.9489385000,0.0627610547,0.0056842880
180,p75,0.95,5,max,-1e-06,0.9182216853,0.8767837444,0.9672017926,0.9465149663,0.0636263662,0.0070637341
181,p60,0.9,5,max,-1e-06,0.9182027766,0.8762520318,0.9676803790,0.9468144696,0.0628972632,0.0074816989
182,p60,0.85,6,max,-1e-06,0.9181763527,0.8770943309,0.9666370439,0.9461963756,0.0630601532,0.0064065230
183,p30,1.0,6,p99,-1e-06,0.9180358964,0.8724723769,0.9716507206,0.9490821546,0.0618332282,0.0046137667
184,p60,1.1,6,p99,-1e-06,0.9180126809,0.8729963301,0.9712686988,0.9487843359,0.0634458124,0.0066399316
185,p30,0.85,4,max,-1e-06,0.9179979482,0.8753400115,0.9681879371,0.9470576713,0.0619874661,0.0052161701
186,median,0.9,4,max,-1e-06,0.9178774538,0.8753486795,0.9680318932,0.9468920792,0.0625867031,0.0075680966
187,mean,0.9,4,max,-1e-06,0.9178210023,0.8753118124,0.9680203865,0.9468482500,0.0628175636,0.0072485062
188,p40,0.95,7,p99,-1e-06,0.9177208330,0.8720136235,0.9716738268,0.9489325161,0.0625338009,0.0059068331
189,median,1.05,6,p99,-1e-06,0.9176573379,0.8719772079,0.9716491022,0.9488713187,0.0630150296,0.0054452487
190,p25,0.9,7,p99,-1e-06,0.9176523645,0.8716334983,0.9718561114,0.9490343653,0.0618377267,0.0044201149
191,p25,1.05,5,p99,-1e-06,0.9176201523,0.8715282828,0.9719074068,0.9490512125,0.0618224650,0.0048163348
192,median,0.85,5,max,-1e-06,0.9176049545,0.8747258516,0.9682070230,0.9468729831,0.0627201854,0.0072232706
193,mean,0.85,5,max,-1e-06,0.9175559298,0.8746441474,0.9682702577,0.9468759510,0.0629316461,0.0072324483
194,mean,1.05,6,p99,-1e-06,0.9175154307,0.8717762287,0.9716403796,0.9487981567,0.0631918168,0.0061905079
195,p75,1.05,7,p99,-1e-06,0.9174636641,0.8721880000,0.9713750942,0.9485437675,0.0648426359,0.0081112020
196,p40,1.1,5,p99,-1e-06,0.9174608391,0.8715139681,0.9717469541,0.9488572517,0.0627287957,0.0057658141
197,p60,1.0,7,p99,-1e-06,0.9173281382,0.8716149233,0.9715841119,0.9486498844,0.0640348291,0.0066381860
198,p75,0.95,4,max,-1e-06,0.9172502822,0.8745351222,0.9680195334,0.9465324410,0.0644501516,0.0080400727
199,p40,0.85,4,max,-1e-06,0.9171951859,0.8737305013,0.9685765072,0.9469047520,0.0628134558,0.0070279146
200,p30,0.9,7,p99,-1e-06,0.9171124783,0.8705722957,0.9720813607,0.9489126968,0.0623936656,0.0045392954
201,p75,0.85,6,max,-1e-06,0.9171116774,0.8749357103,0.9672662490,0.9460357548,0.0645330823,0.0076692018
202,p60,0.9,4,max,-1e-06,0.9170752867,0.8738626866,0.9683426809,0.9466718110,0.0639486614,0.0068186935
203,p30,1.05,5,p99,-1e-06,0.9170693997,0.8705136344,0.9720681743,0.9488851068,0.0624303197,0.0044706360
204,p75,0.9,5,max,-1e-06,0.9170437957,0.8740339210,0.9681746388,0.9465356473,0.0644875813,0.0073796043
205,p25,0.95,6,p99,-1e-06,0.9170326298,0.8703543767,0.9721380691,0.9489190800,0.0621677484,0.0050113432
206,p40,1.0,6,p99,-1e-06,0.9169982816,0.8705069987,0.9719990922,0.9487936375,0.0629937297,0.0048777228
207,p60,0.85,5,max,-1e-06,0.9168567990,0.8731883047,0.9686967041,0.9467826178,0.0639223408,0.0074801010
208,median,0.95,7,p99,-1e-06,0.9167335880,0.8701809763,0.9719708688,0.9486378692,0.0636009939,0.0067538487
209,mean,0.95,7,p99,-1e-06,0.9166656014,0.8700977437,0.9719581824,0.9485935068,0.0637546462,0.0058425176
210,p60,1.05,6,p99,-1e-06,0.9165871222,0.8700795117,0.9719606522,0.9485280769,0.0644805615,0.0074573167
211,median,0.85,4,max,-1e-06,0.9165782688,0.8724140227,0.9689954850,0.9468508202,0.0635551920,0.0075049332
212,median,1.1,5,p99,-1e-06,0.9165491173,0.8697876486,0.9720787159,0.9486142255,0.0637735338,0.0060935223
213,p75,1.1,6,p99,-1e-06,0.9165438742,0.8703185884,0.9717509106,0.9483428824,0.0653999963,0.0070806808
214,mean,1.1,5,p99,-1e-06,0.9164609296,0.8696375203,0.9721024313,0.9485848090,0.0638375342,0.0063649925
215,p30,0.95,6,p99,-1e-06,0.9164385911,0.8692304538,0.9723348679,0.9487561989,0.0627483677,0.0049379376
216,mean,0.85,4,max,-1e-06,0.9163930334,0.8721655756,0.9689687563,0.9467426563,0.0638550891,0.0075917334
217,median,1.0,6,p99,-1e-06,0.9161406877,0.8689073281,0.9723012925,0.9485595066,0.0639206474,0.0058720681
218,p25,1.0,5,p99,-1e-06,0.9160768202,0.8684485442,0.9725064878,0.9486982765,0.0627844122,0.0045297816
219,mean,1.0,6,p99,-1e-06,0.9160330579,0.8687618052,0.9723061732,0.9485064538,0.0641219455,0.0062811994
220,p40,0.9,7,p99,-1e-06,0.9160119894,0.8685600827,0.9723983919,0.9485743006,0.0635799186,0.0057974878
221,p40,1.05,5,p99,-1e-06,0.9159892363,0.8685193232,0.9724297060,0.9485778806,0.0637124180,0.0061351739
222,p75,1.0,7,p99,-1e-06,0.9159703783,0.8691405486,0.9720508598,0.9482487121,0.0658397282,0.0071236603
223,p75,0.9,4,max,-1e-06,0.9159661540,0.8716704412,0.9689375789,0.9464672027,0.0655102923,0.0077828398
224,p25,0.85,7,p99,-1e-06,0.9158003697,0.8679527165,0.9725589728,0.9486037239,0.0629386559,0.0051353086
